날짜,종가,오픈,고가,저가,변동 %
2020년 07월 26일,20.43,20.5,20.55,20.34,0.79%
2020년 07월 27일,20.87,20.44,20.88,20.23,2.15%
2020년 07월 28일,20.77,20.84,20.98,20.57,-0.48%
2020년 07월 29일,21,20.77,21.06,20.7,1.11%
2020년 07월 30일,20.73,21.02,21.05,19.91,-1.29%
2020년 07월 31일,20.9,20.75,20.91,20.51,0.82%
2020년 08월 02일,21.05,21.13,21.13,20.95,0.72%
2020년 08월 03일,21.41,21.04,21.67,20.82,1.71%
2020년 08월 04일,21.88,21.43,22.13,21.25,2.20%
2020년 08월 05일,22.45,21.88,22.93,21.84,2.61%
2020년 08월 06일,22.55,22.44,22.75,22.25,0.45%
2020년 08월 07일,22.42,22.54,22.64,22.16,-0.58%
2020년 08월 09일,22.73,22.61,22.75,22.52,1.38%
2020년 08월 10일,23.04,22.72,23.13,22.7,1.36%
2020년 08월 11일,22.98,23.02,23.56,22.9,-0.26%
2020년 08월 12일,23.62,22.98,23.75,22.96,2.79%
2020년 08월 13일,23.75,23.61,23.82,23.5,0.55%
2020년 08월 14일,23.76,23.73,23.78,23.45,0.04%
2020년 08월 16일,24.12,24.05,24.17,24,1.52%
2020년 08월 17일,24.5,24.12,24.57,23.95,1.58%
2020년 08월 18일,24.59,24.48,24.7,24.27,0.37%
2020년 08월 19일,24.69,24.59,24.82,24.48,0.41%
2020년 08월 20일,24.84,24.66,24.84,24.11,0.61%
2020년 08월 21일,24.62,24.81,24.89,24.13,-0.89%
2020년 08월 23일,25.02,25.02,25.16,24.95,1.62%
2020년 08월 24일,25.27,25.02,25.36,24.95,1.00%
2020년 08월 25일,25.91,25.29,25.95,25.25,2.53%
2020년 08월 26일,26.11,25.94,26.2,25.77,0.77%
2020년 08월 27일,25.95,26.09,26.18,25.59,-0.61%
2020년 08월 28일,26.14,25.93,26.3,25.87,0.73%
2020년 08월 30일,26.52,26.46,26.54,26.45,1.45%
2020년 08월 31일,26.57,26.54,26.91,26.32,0.19%
2020년 09월 01일,26.87,26.56,26.96,26.5,1.13%
2020년 09월 02일,26.29,26.86,27,25.93,-2.16%
2020년 09월 03일,25.95,26.25,26.3,25.45,-1.29%
2020년 09월 04일,25.22,25.96,26.55,25.13,-2.81%
2020년 09월 06일,25.07,25.52,25.52,24.96,-0.59%
2020년 09월 07일,25.52,25.09,25.63,25.09,1.79%
2020년 09월 08일,24.07,25.54,25.62,23.77,-5.68%
2020년 09월 09일,24.91,24.09,25.27,23.91,3.49%
2020년 09월 10일,24.73,24.89,25.2,24.49,-0.72%
