날짜,종가,오픈,고가,저가,거래량,변동 %
2020년 09월 01일,"743,000","741,000","753,000","723,000",624.37K,0.41%
2020년 09월 02일,"742,000","743,000","747,000","728,000",460.97K,-0.13%
2020년 09월 03일,"768,000","756,000","774,000","756,000",0.03K,3.50%
2020년 09월 04일,"743,000","734,000","751,000","734,000",762.30K,-3.26%
2020년 09월 06일,"743,000","743,000","743,000","743,000",-,0.00%
2020년 09월 07일,"720,000","743,000","743,000","718,000",0.31K,-3.10%
2020년 09월 08일,"709,000","720,000","726,000","698,000",0.03K,-1.53%
2020년 09월 09일,"699,000","682,000","704,000","682,000",0.01K,-1.41%
2020년 09월 10일,"713,000","715,000","716,000","699,000",0.43K,2.00%
2020년 09월 11일,"705,000","707,000","709,000","695,000",359.25K,-1.12%
2020년 09월 13일,"705,000","705,000","705,000","705,000",-,0.00%
2020년 09월 14일,"712,000","706,000","715,000","696,000",0.00K,0.99%
2020년 09월 15일,"726,000","722,000","728,000","710,000",0.01K,1.97%
2020년 09월 16일,"687,000","729,000","732,000","685,000",2.60K,-5.37%
2020년 09월 17일,"645,000","673,000","687,000","625,000",1.86K,-6.11%
2020년 09월 18일,"666,000","653,000","677,000","650,000",1.71M,3.26%
2020년 09월 20일,"666,000","666,000","666,000","666,000",-,0.00%
2020년 09월 21일,"627,000","656,000","657,000","626,000",5.21K,-5.86%
2020년 09월 22일,"639,000","645,000","659,000","633,000",0.04K,1.91%
2020년 09월 23일,"630,000","659,000","662,000","604,000",0.14K,-1.41%
2020년 09월 24일,"611,000","619,000","642,000","610,000",0.00K,-3.02%
2020년 09월 25일,"627,000","621,000","630,000","604,000",488.61K,2.62%
2020년 09월 27일,"627,000","627,000","627,000","627,000",-,0.00%
2020년 09월 28일,"626,000","635,000","638,000","616,000",0.00K,-0.16%
2020년 09월 29일,"654,000","659,000","660,000","636,000",655.75K,4.47%
2020년 10월 04일,"654,000","654,000","654,000","654,000",-,0.00%
2020년 10월 05일,"659,000","668,000","668,000","648,000",0.01K,0.76%
2020년 10월 06일,"674,000","658,000","680,000","655,000",0.08K,2.28%
2020년 10월 07일,"680,000","674,000","680,000","668,000",0.00K,0.89%
2020년 10월 08일,"692,000","684,000","698,000","682,000",541.16K,1.76%
2020년 10월 11일,"692,000","692,000","692,000","692,000",-,0.00%
2020년 10월 12일,"672,000","679,000","691,000","670,000",0.42K,-2.89%
2020년 10월 13일,"644,000","675,000","678,000","640,000",0.18K,-4.17%
2020년 10월 14일,"628,000","642,000","644,000","620,000",0.77K,-2.48%
2020년 10월 15일,"637,000","635,000","648,000","629,000",0.39K,1.43%
2020년 10월 16일,"640,000","633,000","643,000","628,000",309.53K,0.47%
2020년 10월 18일,"640,000","640,000","640,000","640,000",-,0.00%
2020년 10월 19일,"615,000","642,000","642,000","614,000",0.61K,-3.91%
2020년 10월 20일,"621,000","605,000","626,000","605,000",0.04K,0.98%
2020년 10월 21일,"617,000","624,000","626,000","614,000",0.10K,-0.64%
2020년 10월 22일,"639,000","622,000","642,000","621,000",0.13K,3.57%
2020년 10월 23일,"650,000","646,000","650,000","633,000",403.92K,1.72%
2020년 10월 25일,"650,000","650,000","650,000","650,000",-,0.00%
2020년 10월 26일,"646,000","645,000","650,000","634,000",262.99K,-0.62%
2020년 10월 27일,"632,000","633,000","641,000","627,000",242.57K,-2.17%
2020년 10월 28일,"642,000","647,000","647,000","626,000",0.01K,1.58%
2020년 10월 29일,"651,000","631,000","654,000","630,000",0.21K,1.40%
2020년 10월 30일,"611,000","647,000","648,000","611,000",767.85K,-6.14%
2020년 11월 01일,"611,000","611,000","611,000","611,000",-,0.00%
2020년 11월 02일,"623,000","609,000","625,000","589,000",0.02K,1.96%
2020년 11월 03일,"656,000","629,000","659,000","628,000",0.01K,5.30%
2020년 11월 04일,"650,000","662,000","673,000","645,000",0.01K,-0.91%
2020년 11월 05일,"677,000","663,000","677,000","656,000",0.06K,4.15%
2020년 11월 06일,"720,000","688,000","724,000","686,000",1.27M,6.35%
2020년 11월 08일,"720,000","720,000","720,000","720,000",-,0.00%
2020년 11월 09일,"734,000","739,000","749,000","722,000",0.76K,1.94%
2020년 11월 10일,"702,000","723,000","733,000","701,000",0.06K,-4.36%
2020년 11월 11일,"692,000","707,000","716,000","685,000",0.01K,-1.42%
2020년 11월 12일,"692,000","697,000","709,000","691,000",0.15K,0.00%
2020년 11월 13일,"705,000","688,000","710,000","680,000",387.20K,1.88%
2020년 11월 15일,"705,000","705,000","705,000","705,000",-,0.00%
2020년 11월 16일,"677,000","682,000","690,000","675,000",0.13K,-3.97%
2020년 11월 17일,"686,000","678,000","686,000","675,000",0.79K,1.33%
2020년 11월 18일,"709,000","688,000","709,000","686,000",0.29K,3.35%
2020년 11월 19일,"721,000","711,000","725,000","709,000",0.02K,1.69%
2020년 11월 20일,"724,000","722,000","731,000","716,000",278.75K,0.42%
2020년 11월 22일,"724,000","724,000","724,000","724,000",-,0.00%
2020년 11월 23일,"748,000","740,000","748,000","735,000",0.00K,3.31%
2020년 11월 24일,"799,000","757,000","799,000","755,000",0.01K,6.82%
2020년 11월 25일,"788,000","819,000","832,000","784,000",0.02K,-1.38%
2020년 11월 26일,"816,000","793,000","821,000","783,000",0.60K,3.55%
2020년 11월 27일,"810,000","807,000","820,000","798,000",388.83K,-0.74%
2020년 11월 29일,"810,000","810,000","810,000","810,000",-,0.00%
2020년 11월 30일,"800,000","807,000","813,000","790,000",624.84K,-1.23%
2020년 12월 01일,"809,000","807,000","815,000","794,000",0.06K,1.13%
2020년 12월 02일,"841,000","816,000","849,000","811,000",573.71K,3.96%
2020년 12월 03일,"846,000","841,000","846,000","827,000",0.01K,0.59%
2020년 12월 04일,"846,000","863,000","863,000","846,000",370.78K,0.00%
2020년 12월 06일,"846,000","846,000","846,000","846,000",-,0.00%
2020년 12월 07일,"816,000","834,000","838,000","807,000",0.03K,-3.55%
2020년 12월 08일,"811,000","817,000","829,000","805,000",0.01K,-0.61%
2020년 12월 09일,"836,000","819,000","836,000","807,000",0.04K,3.08%
2020년 12월 10일,"817,000","822,000","833,000","815,000",609.44K,-2.27%
2020년 12월 11일,"808,000","825,000","827,000","808,000",309.98K,-1.10%
2020년 12월 13일,"808,000","808,000","808,000","808,000",-,0.00%
2020년 12월 14일,"793,000","810,000","811,000","791,000",0.02K,-1.86%
2020년 12월 15일,"801,000","802,000","804,000","794,000",292.92K,1.01%
2020년 12월 16일,"819,000","811,000","822,000","809,000",0.03K,2.25%
2020년 12월 17일,"830,000","822,000","830,000","811,000",0.01K,1.34%
2020년 12월 18일,"814,000","831,000","832,000","806,000",350.55K,-1.93%
2020년 12월 20일,"814,000","814,000","814,000","814,000",-,0.00%
2020년 12월 21일,"815,000","818,000","823,000","809,000",0.03K,0.12%
