날짜,종가,오픈,고가,저가,거래량,변동 %
2020년 06월 12일,"115,000","113,500","116,500","111,000",1.15M,-4.56%
2020년 06월 14일,"115,000","115,000","115,000","115,000",-,0.00%
2020년 06월 15일,"106,500","112,500","118,500","106,500",0.05K,-7.39%
2020년 06월 16일,"116,500","110,500","118,500","109,000",1.07M,9.39%
2020년 06월 17일,"126,000","119,000","127,500","118,000",2.40M,8.15%
2020년 06월 18일,"126,000","128,000","129,500","122,000",0.15K,0.00%
2020년 06월 19일,"126,000","128,500","129,000","123,500",863.26K,0.00%
2020년 06월 21일,"126,000","126,000","126,000","126,000",-,0.00%
2020년 06월 22일,"125,500","126,500","128,000","124,000",0.24K,-0.40%
2020년 06월 23일,"128,000","128,500","130,500","125,000",0.46K,1.99%
2020년 06월 24일,"136,500","129,500","137,000","127,000",0.10K,6.64%
2020년 06월 25일,"134,000","133,500","138,500","131,500",1.28M,-1.83%
2020년 06월 26일,"136,000","138,000","138,500","134,000",786.81K,1.49%
2020년 06월 28일,"136,000","136,000","136,000","136,000",-,0.00%
2020년 06월 29일,"130,000","133,500","136,000","129,500",0.07K,-4.41%
2020년 06월 30일,"131,000","134,000","137,000","131,000",0.02K,0.77%
2020년 07월 01일,"129,000","134,500","134,500","129,000",582.74K,-1.53%
2020년 07월 02일,"131,500","131,000","132,500","128,000",0.08K,1.94%
2020년 07월 03일,"132,000","133,000","135,000","131,000",596.66K,0.38%
2020년 07월 05일,"132,000","132,000","132,000","132,000",-,0.00%
2020년 07월 06일,"135,500","135,000","137,000","133,000",0.01K,2.65%
2020년 07월 07일,"133,500","138,000","138,000","132,000",1.12K,-1.48%
2020년 07월 08일,"134,000","134,500","136,000","133,500",0.00K,0.37%
2020년 07월 09일,"134,500","134,000","135,500","132,000",592.96K,0.37%
2020년 07월 10일,"130,500","133,500","133,500","129,500",685.26K,-2.97%
2020년 07월 13일,"131,000","132,000","132,500","131,000",0.63K,0.38%
2020년 07월 14일,"128,000","129,500","130,000","127,000",0.73K,-2.29%
2020년 07월 15일,"123,500","129,000","129,500","122,500",0.04K,-3.52%
2020년 07월 16일,"124,500","125,500","127,000","124,000",0.06K,0.81%
2020년 07월 17일,"124,500","124,500","126,000","123,000",294.40K,0.00%
2020년 07월 19일,"124,500","124,500","124,500","124,500",-,0.00%
2020년 07월 20일,"122,500","123,500","123,500","120,000",0.10K,-1.61%
2020년 07월 21일,"125,000","123,500","126,500","123,000",0.19K,2.04%
2020년 07월 22일,"135,000","127,000","136,000","126,000",0.06K,8.00%
2020년 07월 23일,"132,000","135,500","136,000","129,000",969.78K,-2.22%
2020년 07월 24일,"132,000","130,000","133,000","129,000",471.53K,0.00%
2020년 07월 26일,"132,000","132,000","132,000","132,000",-,0.00%
2020년 07월 27일,"131,000","132,000","136,000","130,500",0.03K,-0.76%
2020년 07월 28일,"133,000","132,500","134,000","131,500",0.09K,1.53%
2020년 07월 29일,"131,000","132,500","134,500","130,500",0.24K,-1.50%
2020년 07월 30일,"127,500","131,500","132,500","127,000",0.35K,-2.67%
2020년 07월 31일,"127,000","128,000","131,000","124,500",653.12K,-0.39%
2020년 08월 03일,"129,500","128,000","131,000","126,500",0.05K,1.97%
2020년 08월 04일,"132,000","132,500","134,500","131,000",558.25K,1.93%
2020년 08월 05일,"159,000","133,500","159,000","131,500",1.43K,20.45%
2020년 08월 06일,"163,500","160,000","170,500","154,500",0.28K,2.83%
2020년 08월 07일,"184,000","167,500","190,000","165,000",5.97M,12.54%
2020년 08월 09일,"184,000","184,000","184,000","184,000",-,0.00%
2020년 08월 10일,"186,000","191,000","197,000","182,000",4.10K,1.09%
2020년 08월 11일,"187,000","183,500","191,500","179,500",1.64K,0.54%
2020년 08월 12일,"182,500","185,000","189,500","180,000",0.01K,-2.41%
2020년 08월 13일,"182,000","187,000","189,500","181,000",0.01K,-0.27%
2020년 08월 14일,"172,000","181,000","181,500","169,500",1.61M,-5.49%
2020년 08월 17일,"172,000","172,000","172,000","172,000",-,0.00%
2020년 08월 18일,"160,500","171,000","172,500","158,500",0.81K,-6.69%
2020년 08월 19일,"164,000","163,500","167,000","160,000",0.31K,2.18%
2020년 08월 20일,"155,000","160,500","164,500","154,000",1.75K,-5.49%
2020년 08월 21일,"155,000","158,000","159,000","150,500",1.39M,0.00%
2020년 08월 23일,"155,000","155,000","155,000","155,000",-,0.00%
2020년 08월 24일,"152,500","152,500","156,500","148,000",1.14M,-1.61%
2020년 08월 25일,"163,500","155,500","164,000","154,000",0.24K,7.21%
2020년 08월 26일,"164,000","163,000","167,500","157,000",1.15K,0.31%
2020년 08월 27일,"155,500","165,000","166,500","154,500",0.94K,-5.18%
2020년 08월 28일,"157,000","153,500","161,500","152,500",1.19M,0.96%
2020년 08월 30일,"157,000","157,000","157,000","157,000",-,0.00%
2020년 08월 31일,"145,000","155,000","156,000","145,000",3.64K,-7.64%
2020년 09월 01일,"148,500","145,500","149,500","144,500",0.08K,2.41%
2020년 09월 02일,"148,000","150,000","151,000","146,000",0.38K,-0.34%
2020년 09월 03일,"151,000","148,000","152,500","147,000",0.23K,2.03%
2020년 09월 04일,"154,000","145,500","160,000","145,500",1.59M,1.99%
2020년 09월 06일,"154,000","154,000","154,000","154,000",-,0.00%
2020년 09월 07일,"149,500","152,000","152,500","148,000",0.15K,-2.92%
2020년 09월 08일,"148,000","150,500","151,500","147,000",2.15K,-1.00%
2020년 09월 09일,"146,000","146,000","151,000","145,000",895.06K,-1.35%
2020년 09월 10일,"158,000","148,500","158,500","148,000",2.17K,8.22%
2020년 09월 11일,"154,000","157,000","157,500","151,500",691.71K,-2.53%
2020년 09월 13일,"154,000","154,000","154,000","154,000",-,0.00%
2020년 09월 14일,"157,000","155,000","161,000","153,000",934.73K,1.95%
2020년 09월 15일,"159,500","158,500","161,000","157,500",0.00K,1.59%
2020년 09월 16일,"156,500","159,500","161,500","156,500",529.19K,-1.88%
2020년 09월 17일,"156,000","159,000","164,500","154,500",0.73K,-0.32%
2020년 09월 18일,"153,000","157,000","158,000","153,000",658.16K,-1.92%
2020년 09월 20일,"153,000","153,000","153,000","153,000",-,0.00%
2020년 09월 21일,"157,500","154,500","162,000","154,000",0.19K,2.94%
2020년 09월 22일,"151,000","157,500","159,500","150,000",0.04K,-4.13%
2020년 09월 23일,"148,000","154,500","155,000","145,000",0.08K,-1.99%
2020년 09월 24일,"138,500","144,000","146,500","138,000",867.73K,-6.42%
2020년 09월 25일,"140,500","141,500","144,000","140,000",516.37K,1.44%
2020년 09월 27일,"140,500","140,500","140,500","140,500",-,0.00%
2020년 09월 28일,"138,000","141,500","141,500","134,000",0.10K,-1.78%
2020년 09월 29일,"139,000","141,000","143,500","137,500",575.74K,0.72%
2020년 10월 04일,"139,000","139,000","139,000","139,000",-,0.00%
2020년 10월 05일,"141,000","140,000","142,000","137,000",499.32K,1.44%
2020년 10월 06일,"141,000","142,000","146,500","140,000",0.17K,0.00%
2020년 10월 07일,"143,000","140,500","143,000","138,500",326.55K,1.42%
2020년 10월 08일,"144,500","144,500","145,000","142,000",422.27K,1.05%
2020년 10월 11일,"144,500","144,500","144,500","144,500",-,0.00%
2020년 10월 12일,"148,500","147,000","150,000","146,000",0.10K,2.77%
2020년 10월 13일,"145,500","149,500","150,000","144,500",0.15K,-2.02%
2020년 10월 14일,"142,500","145,000","145,000","142,000",0.11K,-2.06%
2020년 10월 15일,"141,000","142,000","142,500","140,000",0.20K,-1.05%
2020년 10월 16일,"139,000","141,000","142,500","138,000",272.04K,-1.42%
2020년 10월 18일,"139,000","139,000","139,000","139,000",-,0.00%
2020년 10월 19일,"136,500","140,000","141,000","136,500",0.06K,-1.80%
2020년 10월 20일,"140,500","135,500","141,000","135,000",355.44K,2.93%
2020년 10월 21일,"138,500","141,500","141,500","137,500",0.05K,-1.42%
2020년 10월 22일,"136,500","137,000","138,500","135,500",251.01K,-1.44%
2020년 10월 23일,"136,500","137,500","137,500","135,500",198.60K,0.00%
2020년 10월 25일,"136,500","136,500","136,500","136,500",-,0.00%
2020년 10월 26일,"131,500","134,000","135,000","130,000",2.95K,-3.66%
2020년 10월 27일,"131,500","131,500","135,500","130,000",360.56K,0.00%
2020년 10월 28일,"131,500","131,500","132,500","129,500",236.32K,0.00%
2020년 10월 29일,"129,500","128,000","129,500","126,500",0.22K,-1.52%
2020년 10월 30일,"125,500","129,000","129,500","125,000",382.06K,-3.09%
2020년 11월 01일,"125,500","125,500","125,500","125,500",-,0.00%
2020년 11월 02일,"122,500","125,000","125,500","119,500",0.04K,-2.39%
2020년 11월 03일,"131,500","124,500","132,500","124,500",0.11K,7.35%
2020년 11월 04일,"132,000","135,000","135,500","130,000",0.14K,0.38%
2020년 11월 05일,"138,000","134,500","143,500","133,000",1.07M,4.55%
2020년 11월 06일,"141,500","141,500","144,000","140,000",724.71K,2.54%
2020년 11월 08일,"141,500","141,500","141,500","141,500",-,0.00%
2020년 11월 09일,"157,000","147,500","157,500","145,500",0.08K,10.95%
2020년 11월 10일,"160,000","162,000","163,500","155,500",0.59K,1.91%
2020년 11월 11일,"155,000","159,000","160,000","154,500",0.03K,-3.13%
