날짜,종가,오픈,고가,저가,거래량,변동 %
2020년 12월 18일,"3,709.41","3,722.39","3,726.70","3,685.84",-,-0.35%
2020년 12월 21일,"3,694.92","3,684.28","3,702.90","3,636.48",-,-0.39%
2020년 12월 22일,"3,687.26","3,698.08","3,698.26","3,676.16",-,-0.21%
2020년 12월 23일,"3,690.01","3,693.42","3,711.24","3,689.28",-,0.07%
2020년 12월 24일,"3,703.06","3,694.03","3,703.82","3,689.32",-,0.35%
2020년 12월 28일,"3,735.36","3,723.03","3,740.51","3,723.03",-,0.87%
2020년 12월 29일,"3,727.04","3,750.01","3,756.12","3,723.31",-,-0.22%
2020년 12월 30일,"3,732.04","3,736.19","3,744.63","3,730.21",-,0.13%
2020년 12월 31일,"3,756.07","3,733.27","3,760.20","3,726.88",-,0.64%
2021년 01월 04일,"3,700.65","3,764.61","3,769.99","3,662.71",-,-1.48%
2021년 01월 05일,"3,726.86","3,698.02","3,737.83","3,695.07",-,0.71%
2021년 01월 06일,"3,748.14","3,712.20","3,783.04","3,705.34",-,0.57%
2021년 01월 07일,"3,803.79","3,764.71","3,811.55","3,764.71",-,1.48%
2021년 01월 08일,"3,824.68","3,815.05","3,826.69","3,783.60",-,0.55%
2021년 01월 11일,"3,799.61","3,803.14","3,817.86","3,789.02",-,-0.66%
2021년 01월 12일,"3,801.19","3,801.62","3,810.78","3,776.51",-,0.04%
2021년 01월 13일,"3,809.84","3,802.23","3,820.96","3,791.50",-,0.23%
2021년 01월 14일,"3,795.54","3,814.98","3,823.60","3,792.86",-,-0.38%
2021년 01월 15일,"3,768.25","3,788.73","3,788.73","3,749.62",-,-0.72%
2021년 01월 19일,"3,798.91","3,781.88","3,804.53","3,780.37",-,0.81%
2021년 01월 20일,"3,851.85","3,816.22","3,859.75","3,816.22",-,1.39%
2021년 01월 21일,"3,853.07","3,857.46","3,861.45","3,845.05",-,0.03%
2021년 01월 22일,"3,841.47","3,844.24","3,852.31","3,830.41",-,-0.30%
2021년 01월 25일,"3,855.36","3,851.68","3,859.23","3,797.16",-,0.36%
2021년 01월 26일,"3,849.62","3,862.96","3,870.90","3,847.78",-,-0.15%
2021년 01월 27일,"3,750.77","3,836.83","3,836.83","3,732.48",-,-2.57%
2021년 01월 28일,"3,787.38","3,755.75","3,830.50","3,755.75",-,0.98%
2021년 01월 29일,"3,714.24","3,778.05","3,778.05","3,694.12",-,-1.93%
2021년 02월 01일,"3,773.86","3,731.17","3,784.32","3,725.62",-,1.61%
2021년 02월 02일,"3,826.31","3,791.84","3,843.09","3,791.84",-,1.39%
2021년 02월 03일,"3,830.17","3,840.27","3,847.51","3,816.68",-,0.10%
